time,node,load,active_sessions,cpu,mem,latency,lag1,lag2,hour,hour_sin,hour_cos
0.0,0.0,27.0,6.0,27.0,71.54203323558163,39.0,27.0,27.0,12.0,1.2246467991473532e-16,-1.0
5.0,0.0,16.0,4.0,16.0,60.61827956989247,12.0,27.0,27.0,12.0,1.2246467991473532e-16,-1.0
9.0,0.0,74.0,11.0,74.0,84.1642228739003,23.0,16.0,27.0,12.0,1.2246467991473532e-16,-1.0
13.0,0.0,32.0,5.0,32.0,41.251221896383186,27.0,74.0,16.0,12.0,1.2246467991473532e-16,-1.0
14.0,0.0,79.0,11.0,79.0,77.41935483870968,7.0,32.0,74.0,12.0,1.2246467991473532e-16,-1.0
26.0,0.0,22.0,3.0,22.0,21.908602150537636,8.0,79.0,32.0,12.0,1.2246467991473532e-16,-1.0
26.0,0.0,80.0,11.0,80.0,74.81671554252199,40.0,22.0,79.0,12.0,1.2246467991473532e-16,-1.0
28.0,0.0,39.0,5.0,39.0,34.82404692082112,41.0,80.0,22.0,12.0,1.2246467991473532e-16,-1.0
31.0,0.0,63.0,8.0,63.0,45.16129032258064,38.0,39.0,80.0,12.0,1.2246467991473532e-16,-1.0
33.0,0.0,50.0,5.0,50.0,12.70772238514174,42.0,63.0,39.0,12.0,1.2246467991473532e-16,-1.0
43.0,0.0,51.0,5.0,51.0,8.492179863147605,18.0,50.0,63.0,12.0,1.2246467991473532e-16,-1.0
44.0,0.0,56.0,6.0,56.0,27.382697947214073,42.0,51.0,50.0,12.0,1.2246467991473532e-16,-1.0
44.0,0.0,88.0,12.0,88.0,71.16324535679375,5.0,56.0,51.0,12.0,1.2246467991473532e-16,-1.0
49.0,0.0,14.0,5.0,14.0,78.05474095796676,44.0,88.0,56.0,12.0,1.2246467991473532e-16,-1.0
52.0,0.0,40.0,7.0,40.0,64.28396871945259,9.0,14.0,88.0,12.0,1.2246467991473532e-16,-1.0
57.0,0.0,45.0,9.0,45.0,98.8880742913001,41.0,40.0,14.0,12.0,1.2246467991473532e-16,-1.0
60.0,0.0,81.0,9.0,81.0,28.653470185728253,5.0,45.0,40.0,13.0,-0.2588190451025208,-0.9659258262890683
60.0,0.0,18.0,3.0,18.0,41.75219941348974,19.0,81.0,45.0,13.0,-0.2588190451025208,-0.9659258262890683
64.0,0.0,34.732752419826454,11.0,29.239651451895874,100.0,26.0,18.0,81.0,13.0,-0.2588190451025208,-0.9659258262890683
69.0,0.0,37.0,7.0,37.0,66.48338220918866,37.0,21.0,18.0,13.0,-0.2588190451025208,-0.9659258262890683
73.0,0.0,37.87684428997866,11.0,32.3261065739872,95.78778561432969,13.0,37.0,21.0,13.0,-0.2588190451025208,-0.9659258262890683
77.0,0.0,73.0,11.0,73.0,84.78739002932552,48.0,24.0,37.0,13.0,-0.2588190451025208,-0.9659258262890683
78.0,0.0,69.0,8.0,69.0,41.01906158357772,24.0,73.0,24.0,13.0,-0.2588190451025208,-0.9659258262890683
78.0,0.0,39.0,5.0,39.0,26.148582600195503,13.0,69.0,73.0,13.0,-0.2588190451025208,-0.9659258262890683
90.0,0.0,33.0,5.0,33.0,44.19599217986315,18.0,39.0,69.0,13.0,-0.2588190451025208,-0.9659258262890683
93.0,0.0,74.0,8.0,74.0,18.756109481915935,47.0,33.0,39.0,13.0,-0.2588190451025208,-0.9659258262890683
95.0,0.0,42.0,8.0,42.0,91.60557184750732,8.0,74.0,33.0,13.0,-0.2588190451025208,-0.9659258262890683
97.0,0.0,58.0,10.0,58.0,90.02932551319648,23.0,42.0,74.0,13.0,-0.2588190451025208,-0.9659258262890683
103.0,0.0,69.0,10.0,69.0,67.00879765395894,20.0,58.0,42.0,13.0,-0.2588190451025208,-0.9659258262890683
103.0,0.0,64.0,9.0,64.0,65.71358748778103,6.0,69.0,58.0,13.0,-0.2588190451025208,-0.9659258262890683
104.0,0.0,77.0,11.0,77.0,75.75757575757575,41.0,64.0,69.0,13.0,-0.2588190451025208,-0.9659258262890683
105.0,0.0,86.0,13.0,86.0,88.30645161290323,28.0,77.0,64.0,13.0,-0.2588190451025208,-0.9659258262890683
105.0,0.0,10.0,6.0,10.0,100.0,12.0,86.0,77.0,13.0,-0.2588190451025208,-0.9659258262890683
113.0,0.0,65.0,10.0,65.0,74.12023460410558,33.0,10.0,86.0,13.0,-0.2588190451025208,-0.9659258262890683
114.0,0.0,79.0,10.0,79.0,45.96774193548387,28.0,65.0,10.0,13.0,-0.2588190451025208,-0.9659258262890683
124.0,0.0,53.0,9.0,53.0,86.32697947214076,29.0,79.0,65.0,14.0,-0.4999999999999997,-0.8660254037844388
126.0,0.0,59.0,6.0,59.0,15.298142717497557,33.0,53.0,79.0,14.0,-0.4999999999999997,-0.8660254037844388
130.0,0.0,76.0,11.0,76.0,70.83333333333334,7.0,59.0,53.0,14.0,-0.4999999999999997,-0.8660254037844388
132.0,0.0,63.0,7.0,63.0,15.5791788856305,33.0,76.0,59.0,14.0,-0.4999999999999997,-0.8660254037844388
134.0,0.0,63.0,7.0,63.0,16.55669599217986,19.0,63.0,76.0,14.0,-0.4999999999999997,-0.8660254037844388
141.0,0.0,43.0,6.0,43.0,51.99169110459433,21.0,63.0,63.0,14.0,-0.4999999999999997,-0.8660254037844388
145.0,0.0,39.0,7.0,39.0,67.21652003910069,33.0,43.0,63.0,14.0,-0.4999999999999997,-0.8660254037844388
152.0,0.0,14.735491245022716,4.0,12.84129474701363,29.32577030055063,16.0,39.0,43.0,14.0,-0.4999999999999997,-0.8660254037844388
157.0,0.0,43.0,5.0,43.0,23.484848484848484,30.0,10.0,39.0,14.0,-0.4999999999999997,-0.8660254037844388
159.0,0.0,86.0,13.0,86.0,93.48729227761486,13.0,43.0,10.0,14.0,-0.4999999999999997,-0.8660254037844388
161.0,0.0,42.0,6.0,42.0,36.13147605083089,49.0,86.0,43.0,14.0,-0.4999999999999997,-0.8660254037844388
166.0,0.0,69.0,7.0,69.0,11.656891495601172,40.0,42.0,86.0,14.0,-0.4999999999999997,-0.8660254037844388
5.0,1.0,29.0,6.0,29.0,74.80449657869013,47.0,29.0,29.0,12.0,1.2246467991473532e-16,-1.0
6.0,1.0,26.0,3.0,26.0,26.62512218963832,14.0,29.0,29.0,12.0,1.2246467991473532e-16,-1.0
9.0,1.0,54.0,8.0,54.0,69.39149560117302,24.0,26.0,29.0,12.0,1.2246467991473532e-16,-1.0
10.0,1.0,16.0,3.0,16.0,37.21896383186706,19.0,54.0,26.0,12.0,1.2246467991473532e-16,-1.0
15.0,1.0,15.0,5.0,15.0,87.76881720430107,24.0,16.0,54.0,12.0,1.2246467991473532e-16,-1.0
20.0,1.0,89.0,9.0,89.0,16.27565982404692,24.0,15.0,16.0,12.0,1.2246467991473532e-16,-1.0
33.0,1.0,50.0,7.0,50.0,51.160801564027366,12.0,89.0,15.0,12.0,1.2246467991473532e-16,-1.0
37.0,1.0,33.0,5.0,33.0,44.20821114369502,38.0,50.0,89.0,12.0,1.2246467991473532e-16,-1.0
40.0,1.0,31.0,6.0,31.0,62.096774193548384,37.0,33.0,50.0,12.0,1.2246467991473532e-16,-1.0
45.0,1.0,20.0,5.0,20.0,70.12463343108504,15.0,31.0,33.0,12.0,1.2246467991473532e-16,-1.0
48.0,1.0,49.0,5.0,49.0,9.3475073313783,42.0,20.0,31.0,12.0,1.2246467991473532e-16,-1.0
49.0,1.0,49.0,6.0,49.0,30.755131964809383,23.0,49.0,20.0,12.0,1.2246467991473532e-16,-1.0
49.0,1.0,80.0,8.0,80.0,14.051808406647115,5.0,49.0,49.0,12.0,1.2246467991473532e-16,-1.0
54.0,1.0,77.0,11.0,77.0,85.09286412512219,27.0,80.0,49.0,12.0,1.2246467991473532e-16,-1.0
60.0,1.0,62.0,8.0,62.0,53.25024437927664,45.0,77.0,80.0,13.0,-0.2588190451025208,-0.9659258262890683
64.0,1.0,89.0,13.0,89.0,90.24926686217009,7.0,62.0,77.0,13.0,-0.2588190451025208,-0.9659258262890683
65.0,1.0,21.20124808914646,4.0,18.320748853487878,21.70992250056572,41.0,89.0,62.0,13.0,-0.2588190451025208,-0.9659258262890683
76.0,1.0,60.0,10.0,60.0,80.10752688172043,37.0,14.0,89.0,13.0,-0.2588190451025208,-0.9659258262890683
89.0,1.0,27.0,6.0,27.0,71.61534701857283,14.0,60.0,14.0,13.0,-0.2588190451025208,-0.9659258262890683
98.0,1.0,30.0,4.0,30.0,28.433528836754647,16.0,27.0,60.0,13.0,-0.2588190451025208,-0.9659258262890683
102.0,1.0,73.0,10.0,73.0,60.86265884652982,12.0,30.0,27.0,13.0,-0.2588190451025208,-0.9659258262890683
105.0,1.0,60.0,9.0,60.0,79.23998044965786,23.0,73.0,30.0,13.0,-0.2588190451025208,-0.9659258262890683
110.0,1.0,16.244327626337643,3.0,14.546596575802585,34.07798520498276,6.0,60.0,73.0,13.0,-0.2588190451025208,-0.9659258262890683
111.0,1.0,45.0,5.0,45.0,13.45307917888563,38.0,12.0,60.0,13.0,-0.2588190451025208,-0.9659258262890683
113.0,1.0,83.0,12.0,83.0,75.79423264907136,47.0,45.0,12.0,13.0,-0.2588190451025208,-0.9659258262890683
116.0,1.0,82.0,10.0,82.0,50.01221896383187,11.0,83.0,45.0,13.0,-0.2588190451025208,-0.9659258262890683
123.0,1.0,45.0,5.0,45.0,16.7644183773216,38.0,82.0,83.0,14.0,-0.4999999999999997,-0.8660254037844388
124.0,1.0,64.0,8.0,64.0,36.595796676441836,9.0,45.0,82.0,14.0,-0.4999999999999997,-0.8660254037844388
129.0,1.0,67.0,10.0,67.0,83.0522971652004,11.0,64.0,45.0,14.0,-0.4999999999999997,-0.8660254037844388
